Size,Algorithm,Type,ThreadCount,ArrayType,Sample,TimeMs,SpeedUp,Efficiency
100000,BubbleSort,Serial,1,Random,3,11364.5754,0.0,0.0
100000,InsertSort,Serial,1,Random,3,500.5201,0.0,0.0
100000,SelectionSort,Parallel,2,Random,3,430.617299,4.001156256381609,2.0005781281908046
100000,MergeSort,Parallel,2,Random,3,5.149001,1.7916290946535065,0.8958145473267533
100000,BubbleSort,Parallel,2,Random,3,28099.532601,0.40444001547540187,0.20222000773770094
100000,InsertSort,Parallel,2,Random,3,4.8431,103.34705044289815,51.673525221449076
100000,SelectionSort,Parallel,4,Random,3,126.7243,13.596185577667425,3.3990463944168563
100000,MergeSort,Parallel,4,Random,3,4.1563,2.2195462310227847,0.5548865577556962
100000,BubbleSort,Parallel,4,Random,3,28449.6731,0.39946242475453964,0.09986560618863491
100000,InsertSort,Parallel,4,Random,3,3.8487,130.04913347364047,32.51228336841012
100000,SelectionSort,Parallel,8,Random,3,54.7802,31.4523696518085,3.9315462064760625
100000,MergeSort,Parallel,8,Random,3,3.847999,2.39737588289394,0.2996719853617425
100000,BubbleSort,Parallel,8,Random,3,28762.798999,0.3951136814047588,0.04938921017559485
100000,InsertSort,Parallel,8,Random,3,3.4534,144.9354549139978,18.116931864249725
100000,SelectionSort,Parallel,16,Random,3,24.564299,70.1411060010302,4.383819125064387
100000,MergeSort,Parallel,16,Random,3,3.534201,2.610236373086873,0.16313977331792956
100000,BubbleSort,Parallel,16,Random,3,29505.9777,0.3851617972313454,0.02407261232695909
100000,InsertSort,Parallel,16,Random,3,3.293199,151.98598687780483,9.499124179862802
100000,SelectionSort,Serial,1,Random,4,1690.697,0.0,0.0
100000,MergeSort,Serial,1,Random,4,9.4398,0.0,0.0
100000,BubbleSort,Serial,1,Random,4,11480.9533,0.0,0.0
100000,InsertSort,Serial,1,Random,4,527.9345,0.0,0.0
100000,SelectionSort,Parallel,2,Random,4,441.5686,3.8288433552566916,1.9144216776283458
100000,MergeSort,Parallel,2,Random,4,4.976999,1.896685130939347,0.9483425654696735
100000,BubbleSort,Parallel,2,Random,4,27914.8933,0.41128415489949227,0.20564207744974614
100000,InsertSort,Parallel,2,Random,4,4.519301,116.81773353888134,58.40886676944067
100000,SelectionSort,Parallel,4,Random,4,146.8523,11.512907867292508,2.878226966823127
100000,MergeSort,Parallel,4,Random,4,3.8127,2.475883232355024,0.618970808088756
100000,BubbleSort,Parallel,4,Random,4,28625.091499,0.40108005595025187,0.10027001398756297
100000,InsertSort,Parallel,4,Random,4,3.4408,153.43364915136013,38.35841228784003
